u,v,w,p,vtkValidPointMask,vtkGhostType,Point ID,x,y,z,Boundary
24.983,4.18624,-7.18353e-17,20.7303,1,0,0,0,0,0,0
24.9835,4.19785,-9.82146e-18,20.6491,1,0,100,0,1,0,0
24.9842,4.20965,5.92961e-17,20.5642,1,0,200,0,2,0,0
24.9849,4.22163,1.35633e-16,20.4757,1,0,300,0,3,0,0
24.9858,4.23379,2.19306e-16,20.3834,1,0,400,0,4,0,0
24.9868,4.24615,3.10437e-16,20.2873,1,0,500,0,5,0,0
24.9883,4.25841,3.95774e-16,20.1772,1,0,600,0,6,0,0
24.9915,4.26992,4.33983e-16,20.0297,1,0,700,0,7,0,0
24.9947,4.28158,4.63734e-16,19.8785,1,0,800,0,8,0,0
24.9977,4.29362,4.44374e-16,19.7308,1,0,900,0,9,0,0
25.0007,4.30593,4.07135e-16,19.5822,1,0,1000,0,10,0,0
25.0038,4.31841,3.71278e-16,19.4295,1,0,1100,0,11,0,0
25.007,4.33106,3.36822e-16,19.2728,1,0,1200,0,12,0,0
25.0103,4.34389,3.03786e-16,19.1119,1,0,1300,0,13,0,0
25.0138,4.3569,2.7219e-16,18.9468,1,0,1400,0,14,0,0
25.0174,4.37009,2.42054e-16,18.7775,1,0,1500,0,15,0,0
25.0212,4.38346,2.134e-16,18.6038,1,0,1600,0,16,0,0
25.0262,4.39613,1.9185e-16,18.4006,1,0,1700,0,17,0,0
25.0321,4.40827,1.72412e-16,18.1745,1,0,1800,0,18,0,0
25.0382,4.42055,1.49874e-16,17.9446,1,0,1900,0,19,0,0
25.0445,4.43297,1.24201e-16,17.7108,1,0,2000,0,20,0,0
25.0508,4.44554,9.53582e-17,17.473,1,0,2100,0,21,0,0
25.0571,4.45843,6.24874e-17,17.2354,1,0,2200,0,22,0,0
25.0633,4.47163,3.24328e-17,16.9975,1,0,2300,0,23,0,0
25.0697,4.48499,8.067020000000001e-18,16.7553,1,0,2400,0,24,0,0
25.0761,4.49851,-1.05451e-17,16.5088,1,0,2500,0,25,0,0
25.0831,4.51186,-1.86096e-17,16.2519,1,0,2600,0,26,0,0
25.0916,4.52357,1.19835e-19,15.9592,1,0,2700,0,27,0,0
25.1003,4.53538,1.75149e-17,15.6632,1,0,2800,0,28,0,0
25.1091,4.5473,3.35648e-17,15.3638,1,0,2900,0,29,0,0
25.118,4.55933,4.82584e-17,15.061,1,0,3000,0,30,0,0
25.127,4.57148,6.15846e-17,14.7547,1,0,3100,0,31,0,0
25.1361,4.58373,7.35322e-17,14.445,1,0,3200,0,32,0,0
25.1453,4.5961,8.40897e-17,14.1317,1,0,3300,0,33,0,0
25.1547,4.60858,9.32456e-17,13.8149,1,0,3400,0,34,0,0
25.1647,4.62075,9.6387e-17,13.4822,1,0,3500,0,35,0,0
25.1765,4.63169,8.42374e-17,13.1076,1,0,3600,0,36,0,0
25.1884,4.6427,7.17271e-17,12.7304,1,0,3700,0,37,0,0
25.2003,4.65378,5.88543e-17,12.3508,1,0,3800,0,38,0,0
25.2124,4.66493,4.5617e-17,11.9687,1,0,3900,0,39,0,0
25.2245,4.67615,3.20134e-17,11.584,1,0,4000,0,40,0,0
25.2367,4.68744,1.80416e-17,11.1969,1,0,4100,0,41,0,0
25.2497,4.69768,9.8107e-18,10.7937,1,0,4200,0,42,0,0
25.2634,4.70695,7.2833e-18,10.3767,1,0,4300,0,43,0,0
25.2772,4.71625,5.01983e-18,9.95844,1,0,4400,0,44,0,0
25.291,4.72558,3.0209300000000002e-18,9.53893,1,0,4500,0,45,0,0
25.3048,4.73494,1.2872600000000003e-18,9.11815,1,0,4600,0,46,0,0
25.3186,4.74435,-1.60929e-19,8.69641,1,0,4700,0,47,0,0
25.3325,4.75386,-1.4283e-18,8.27411,1,0,4800,0,48,0,0
25.3478,4.76117,-1.2468600000000004e-18,7.8215,1,0,4900,0,49,0,0
25.3632,4.76848,-1.06328e-18,7.36913,1,0,5000,0,50,0,0
25.3785,4.77578,-8.77545e-19,6.91702,1,0,5100,0,51,0,0
25.3938,4.78308,-6.89662e-19,6.46516,1,0,5200,0,52,0,0
25.4091,4.79037,-4.99629e-19,6.01354,1,0,5300,0,53,0,0
25.4244,4.79765,-3.0745000000000005e-19,5.56217,1,0,5400,0,54,0,0
25.4403,4.80405,-2.01753e-19,5.09968,1,0,5500,0,55,0,0
25.4571,4.80904,-2.26051e-19,4.62054,1,0,5600,0,56,0,0
25.4738,4.81399,-2.45295e-19,4.14332,1,0,5700,0,57,0,0
25.4904,4.81891,-2.59502e-19,3.66799,1,0,5800,0,58,0,0
25.507,4.8238,-2.68688e-19,3.19456,1,0,5900,0,59,0,0
25.5235,4.82865,-2.7287e-19,2.72302,1,0,6000,0,60,0,0
25.54,4.83347,-2.72063e-19,2.25337,1,0,6100,0,61,0,0
25.5567,4.83672,-2.79601e-19,1.78157,1,0,6200,0,62,0,0
25.5737,4.83864,-2.4385e-19,1.30972,1,0,6300,0,63,0,0
25.5906,4.84052,-1.3954600000000001e-19,0.84158,1,0,6400,0,64,0,0
25.6074,4.84233,3.2873499999999994e-20,0.377116,1,0,6500,0,65,0,0
25.624,4.8441,2.7297600000000003e-19,-0.0836929,1,0,6600,0,66,0,0
25.6405,4.84581,5.803300000000001e-19,-0.54087,1,0,6700,0,67,0,0
25.6568,4.84747,9.545100000000001e-19,-0.994438,1,0,6800,0,68,0,0
25.6731,4.84908,1.39509e-18,-1.44442,1,0,6900,0,69,0,0
25.6896,4.84986,1.16567e-18,-1.8992,1,0,7000,0,70,0,0
25.707,4.84873,-8.73985e-19,-2.36913,1,0,7100,0,71,0,0
25.7242,4.84753,-3.0225300000000007e-18,-2.83345,1,0,7200,0,72,0,0
25.7412,4.84627,-5.27897e-18,-3.29223,1,0,7300,0,73,0,0
25.7579,4.84495,-7.64229e-18,-3.74553,1,0,7400,0,74,0,0
25.7745,4.84357,-1.01115e-17,-4.19338,1,0,7500,0,75,0,0
25.791,4.84212,-1.26857e-17,-4.63584,1,0,7600,0,76,0,0
25.8072,4.84061,-1.53639e-17,-5.07295,1,0,7700,0,77,0,0
25.8236,4.83716,-1.53073e-17,-5.50705,1,0,7800,0,78,0,0
25.84,4.83282,-1.46179e-17,-5.93545,1,0,7900,0,79,0,0
25.856,4.82881,-1.48032e-17,-6.35671,1,0,8000,0,80,0,0
25.8718,4.82497,-1.55704e-17,-6.77128,1,0,8100,0,81,0,0
25.8873,4.82107,-1.67704e-17,-7.17945,1,0,8200,0,82,0,0
25.9026,4.81713,-1.83982e-17,-7.58131,1,0,8300,0,83,0,0
25.9177,4.81313,-2.04488e-17,-7.97692,1,0,8400,0,84,0,0
25.9325,4.80909,-2.29175e-17,-8.36635,1,0,8500,0,85,0,0
25.9473,4.80365,-2.23579e-17,-8.74892,1,0,8600,0,86,0,0
25.962,4.79704,-1.68272e-17,-9.12366,1,0,8700,0,87,0,0
25.9764,4.79039,-8.483550000000001e-18,-9.49095,1,0,8800,0,88,0,0
25.9906,4.7837,2.6341700000000002e-18,-9.85091,1,0,8900,0,89,0,0
26.0045,4.77699,1.64879e-17,-10.2036,1,0,9000,0,90,0,0
26.0181,4.77023,3.30404e-17,-10.5492,1,0,9100,0,91,0,0
26.0315,4.76344,5.22548e-17,-10.8877,1,0,9200,0,92,0,0
26.0446,4.75697,7.09302e-17,-11.2204,1,0,9300,0,93,0,0
26.0574,4.75082,8.68905e-17,-11.5474,1,0,9400,0,94,0,0
26.0702,4.7433,9.19934e-17,-11.8676,1,0,9500,0,95,0,0
26.0828,4.73491,8.73689e-17,-12.1801,1,0,9600,0,96,0,0
