u,v,w,p,vtkValidPointMask,vtkGhostType,Point ID,x,y,z
25.0738,3.89288,-1.0845e-16,29.0667,1,0,0,0,0,0
25.0723,3.90217,-2.22778e-17,29.0709,1,0,100,0,1,0
25.0708,3.91163,7.39401e-17,29.0723,1,0,200,0,2,0
25.0694,3.92125,1.80367e-16,29.071,1,0,300,0,3,0
25.068,3.93104,2.97169e-16,29.0668,1,0,400,0,4,0
25.0667,3.94101,4.24518e-16,29.0597,1,0,500,0,5,0
25.0659,3.95104,5.4465e-16,29.0402,1,0,600,0,6,0
25.0666,3.96081,6.01762e-16,28.9859,1,0,700,0,7,0
25.0673,3.97073,6.47478e-16,28.9288,1,0,800,0,8,0
25.0678,3.9809,6.24774e-16,28.8775,1,0,900,0,9,0
25.0683,3.99127,5.76461e-16,28.8272,1,0,1000,0,10,0
25.0688,4.0018,5.29366e-16,28.7738,1,0,1100,0,11,0
25.0694,4.0125,4.83506e-16,28.7175,1,0,1200,0,12,0
25.07,4.02336,4.38898e-16,28.6581,1,0,1300,0,13,0
25.0707,4.03439,3.95559e-16,28.5956,1,0,1400,0,14,0
25.0715,4.0456,3.53508e-16,28.53,1,0,1500,0,15,0
25.0724,4.05697,3.12763e-16,28.4613,1,0,1600,0,16,0
25.0744,4.06804,2.80488e-16,28.3646,1,0,1700,0,17,0
25.0775,4.07889,2.5056e-16,28.2466,1,0,1800,0,18,0
25.0805,4.08987,2.16398e-16,28.1258,1,0,1900,0,19,0
25.0837,4.10099,1.77953e-16,28.0021,1,0,2000,0,20,0
25.0869,4.11226,1.35179e-16,27.8756,1,0,2100,0,21,0
25.0901,4.12375,8.76934e-17,27.7514,1,0,2200,0,22,0
25.0931,4.13548,4.54408e-17,27.6291,1,0,2300,0,23,0
25.0962,4.14735,1.18613e-17,27.5036,1,0,2400,0,24,0
25.0994,4.15938,-1.29461e-17,27.3751,1,0,2500,0,25,0
25.103,4.17135,-2.16055e-17,27.237,1,0,2600,0,26,0
25.1082,4.18227,1.07375e-17,27.0623,1,0,2700,0,27,0
25.1135,4.1933,4.06937e-17,26.8852,1,0,2800,0,28,0
25.1189,4.20444,6.82437e-17,26.7057,1,0,2900,0,29,0
25.1243,4.21568,9.33676e-17,26.5238,1,0,3000,0,30,0
25.1298,4.22703,1.16046e-16,26.3393,1,0,3100,0,31,0
25.1354,4.23849,1.36257e-16,26.1524,1,0,3200,0,32,0
25.1411,4.25006,1.53983e-16,25.963,1,0,3300,0,33,0
25.1468,4.26175,1.69201e-16,25.7711,1,0,3400,0,34,0
25.1532,4.27328,1.74006e-16,25.5647,1,0,3500,0,35,0
25.161,4.28409,1.52566e-16,25.3186,1,0,3600,0,36,0
25.169,4.29497,1.30512e-16,25.0707,1,0,3700,0,37,0
25.177,4.30592,1.07841e-16,24.8211,1,0,3800,0,38,0
